# ============================================================
# ComfyUI Eclipse - Workflow Migration Node Name Mappings (RvTools v2 [])
# Format: Legacy Node Type ID (Find)|Unified Node Type ID (Replace)
# Lines starting with # are ignored.
# ============================================================

Save Images [RvTools]|Save Images [Eclipse]
Pipe Out Sampler Settings (Flux+Seed) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (Seed) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (Seed) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (Small) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (Small) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (Small+Seed) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (Small+Seed) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (NI) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (NI) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (NI+Seed) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (NI+Seed) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (SD15) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (SD15) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (SDXL) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (SDXL) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (SD3) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (SD3) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (Aura) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (Aura) [RvTools]|Pipe IO Sampler Settings [Eclipse]
Sampler Settings (Hunyuan) [RvTools]|Smart Sampler Settings [Eclipse]
Pipe Out Sampler Settings (Hunyuan) [RvTools]|Pipe IO Sampler Settings [Eclipse]
